brand_parent,model_parent,variant_parent,variant_name,price,displacement,power,transmission,mileage,fuel,engine_typr,cylinders,valves_per_cyl,gearbox,drive,fuel_cap,emission_norm,suspension_front,suspension_rear,steer_type,steer_col,turn_radius,brake_front,breake_rear,length,width,height,boot_cap,seat_cap,ground_cl,wheelbase,kerb_weight,gross_weight,doors,park_sensors,upholstery,radio_antenna,tyre_size,tyre_type,wheel_size,airbags,screen_size,connectivity,image-src,ncap_rating,ev_range,ev_battery_cap,ev_motor,ev_charge,ev_drag_coeff,zero_to_hundred,speakers,auto_park,ev_charge_time_dc,ev_charge_time_ac,ev_brake_regen_levels,ev_norm
Jeep,Jeep Meridian,Meridian Limited Plus AT 4x4,Jeep Meridian Limited Plus AT 4x4,Rs.38.61 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,172.35 bhp,,,Diesel,2.0 L Multijet Diesel,4,4,9-Speed,4WD,,BS VI 2.0,"McPherson Strut with Frequency Selective Damping, HRS with Anti Roll Bar Disc",Multi-Link with Strut Suspension with FSD,,,5.7m,Disc,Disc,4769 mm,1859 mm,1698 mm,170 Litres,7,,2636 mm,1890 kg,,5,Rear,,,,"Tubeless, Radial",,No. of Airbags,10.1,,,,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Meridian,Meridian Limited Opt AT 4x4,Jeep Meridian Limited Opt AT 4x4,Rs.38.21 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,172.35 bhp,,,Diesel,2.0 L Multijet Diesel,4,4,9-Speed,4WD,,BS VI 2.0,"McPherson Strut with Frequency Selective Damping, HRS with Anti Roll Bar Disc",Multi-Link with Strut Suspension with FSD,,,5.7m,Disc,Disc,4769 mm,1859 mm,1698 mm,170 Litres,7,,2540 mm,1890 kg,,5,Rear,,,,"Tubeless, Radial",,No. of Airbags,10.1,,,,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Meridian,Meridian Overland FWD AT,Jeep Meridian Overland FWD AT,Rs.36.97 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,172.35 bhp,,,Diesel,2.0 L Multijet Diesel,4,4,9-Speed,FWD,,BS VI 2.0,"McPherson Strut with Frequency Selective Damping, HRS with Anti Roll Bar Disc",Multi-Link with Strut Suspension with FSD,,,5.7m,Disc,Disc,4769 mm,1859 mm,1698 mm,170 Litres,7,,2500 mm,1890 kg,,5,Rear,,,,"Tubeless, Radial",,No. of Airbags,,,,,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Meridian,Meridian Limited Plus AT,Jeep Meridian Limited Plus AT,Rs.35.93 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,172.35 bhp,,,Diesel,2.0 L Multijet Diesel,4,4,9-Speed,FWD,,BS VI 2.0,"McPherson Strut with Frequency Selective Damping, HRS with Anti Roll Bar Disc",Multi-Link with Strut Suspension with FSD,,,5.7m,Disc,Disc,4769 mm,1859 mm,1698 mm,170 Litres,7,,2540 mm,1890 kg,,5,Rear,,,,"Tubeless, Radial",,No. of Airbags,10.1,,,,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Meridian,Meridian Limited Opt AT,Jeep Meridian Limited Opt AT,Rs.35.52 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,172.35 bhp,,,Diesel,2.0 L Multijet Diesel,4,4,9-Speed,FWD,,BS VI 2.0,"McPherson Strut with Frequency Selective Damping, HRS with Anti Roll Bar Disc",Multi-Link with Strut Suspension with FSD,,,5.7m,Disc,Disc,4769 mm,1859 mm,1698 mm,170 Litres,7,,2500 mm,1816 kg,,5,Rear,,,,"Tubeless, Radial",,No. of Airbags,10.1,,,,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Meridian,Meridian Limited Opt,Jeep Meridian Limited Opt,Rs.33.60 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,172.35 bhp,,,Diesel,2.0 L Multijet Diesel,4,4,6-Speed,FWD,,BS VI 2.0,"McPherson Strut with Frequency Selective Damping, HRS with Anti Roll Bar Disc",Multi-Link with Strut Suspension with FSD,,,5.7m,Disc,Disc,4769 mm,1859 mm,1698 mm,170 Litres,7,,2500 mm,1796 kg,,5,Rear,,,,"Tubeless, Radial",,No. of Airbags,10.1,,,,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Wrangler,Wrangler Rubicon,Jeep Wrangler Rubicon,Rs.71.65 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1995 cc,268.20 bhp,Automatic,,Petrol,2.0L Gme T4 Di,4,4,8 Speed AT,4WD,,BS VI 2.0,Heavy-Duty,Heavy-Duty,Electric,Tilt & Telescopic,,Disc,Disc,4867 mm,1931 mm,1864 mm,,5,237 mm,3007 mm,2146 kg,,5,Rear,Leather,Trail Ready Front Windshield,255/75 R17,"Tubeless, Radial",,No. of Airbags,12.3 Inch,,,,,,,,,,8,,,,,BS VI 2.0
Jeep,Jeep Wrangler,Wrangler Unlimited,Jeep Wrangler Unlimited,Rs.67.65 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1995 cc,268.20 bhp,Automatic,,Petrol,2.0L Gme T4 Di,4,4,8 Speed AT,4WD,,BS VI 2.0,Heavy-Duty,Heavy-Duty,Electric,Tilt & Telescopic,,Disc,Disc,4867 mm,1894 mm,1853 mm,,5,223 mm,3007 mm,2042 kg,,5,Rear,Leather,Trail Ready Front Windshield,255/70 R18,Tubeless & Radial,,No. of Airbags,12.3 Inch,,,,,,,,,,8,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Model S Opt 4x4 AT,Jeep Compass 2.0 Model S Opt 4x4 AT,Rs.32.27 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,14.9 kmpl,Diesel,2.0L Multijet Diesel,4,4,9-Speed AT,4WD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,255/55 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Model S Opt FWD AT,Jeep Compass 2.0 Model S Opt FWD AT,Rs.30.19 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,9-Speed AT,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,255/55 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Black Shark Opt FWD AT,Jeep Compass 2.0 Black Shark Opt FWD AT,Rs.28.69 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,9-Speed AT,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,225/55 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Model S Opt,Jeep Compass 2.0 Model S Opt,Rs.28.19 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,6-Speed,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,255/55 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,9,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Limited Opt FWD AT,Jeep Compass 2.0 Limited Opt FWD AT,Rs.28.19 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,14.9 kmpl,Diesel,2.0L Multijet Diesel,4,4,9-Speed AT,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,225/60 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass Black Eagle,Jeep Compass Black Eagle,Rs.27.04 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Petrol,2.0L Multijet Diesel,4,4,6-Speed,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,225/55 R18,"Tubeless, Radial",,6,,,,,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Black Shark Opt,Jeep Compass 2.0 Black Shark Opt,Rs.26.69 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,6-Speed,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,225/55 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Longitude Opt AT,Jeep Compass 2.0 Longitude Opt AT,Rs.26.69 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,9-Speed AT,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,,5,,2636 mm,,,5,Rear,Leather,Shark Fin,255/55 R17,"Tubeless, Radial",,2,,,,,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Limited Opt,Jeep Compass 2.0 Limited Opt,Rs.26.19 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,6-Speed,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,225/55 R18,"Tubeless, Radial",,6,,,,5 Star,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass Black Eagle AT,Jeep Compass Black Eagle AT,Rs.25.04 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Petrol,2.0L Multijet Diesel,4,4,9-Speed AT,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,,5,,2636 mm,,,5,Rear,Leather,Shark Fin,255/55 R17,"Tubeless, Radial",,2,,,,,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Longitude Opt,Jeep Compass 2.0 Longitude Opt,Rs.24.69 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,6 Speed,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Leather,Shark Fin,255/55 R17,"Tubeless, Radial",,2,,,,,,,,,,,6,,,,,BS VI 2.0
Jeep,Jeep Compass,Compass 2.0 Sport,Jeep Compass 2.0 Sport,Rs.20.69 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1956 cc,167.67 bhp,,17.1 kmpl,Diesel,2.0L Multijet Diesel,4,4,6-Speed,FWD,,BS VI 2.0,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,Power,Tilt & Telescopic,,Disc,Disc,4405 mm,1818 mm,1640 mm,438 Litres,5,,2636 mm,,,5,Rear,Fabric,Shark Fin,255/55 R17,"Tubeless, Radial",,2,,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Kodiaq,Kodiaq L & K,Skoda Kodiaq L & K,Rs.39.99 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1984 cc,187.74 bhp,,13.32 kmpl,Petrol,Turbocharged Petrol Engine,4,4,7-Speed DSG,4WD,58 Litres,BS VI 2.0,McPherson suspension with lower triangular links and torsion stabiliser,"Multi-element axle, with longitudinal and transverse links, with torsion stabiliser",Electric,Tilt & Telescopic,,Disc,Disc,4699 mm,1882 mm,1685 mm,270 Litres,7,,2791 mm,1793 kg,2493 kg,5,Front & Rear,Leather,Shark Fin,235/55 R18,"Tubeless, Radial",,9,8 Inch,,,5 Star,,,,,,,12,,,,,BS VI 2.0
Skoda,Skoda Superb,Superb L&T,Skoda Superb L&T,Rs.54 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1984 cc,187.74 bhp,Automatic,,Petrol,,4,4,7-Speed Dual Clutch Automatic,FWD,,,McPherson suspension,Multi-element axle,Electic,,,,,4869 mm,1864 mm,1503 mm,,5,122 mm,2836 mm,1565 kg,2140 kg,,Front & Rear,Leather,,,,,No. of Airbags,,,,,,,,,,,11,Semi,,,,
Skoda,Skoda Slavia,Slavia 1.5 Style Edition DSG,Skoda Slavia 1.5 Style Edition DSG,Rs.19.13 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Automatic,19.36 kmpl,Petrol,1.5 L TSI Petrol,4,4,7-Speed DSG,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1246-1277 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Style Matte DSG,Skoda Slavia 1.5 TSI Style Matte DSG,Rs.19.12 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Automatic,19.36 kmpl,Petrol,1.5 L TSI Petrol,4,4,7-Speed DSG,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1246-1277 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55 R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Elegance Edition DSG,Skoda Slavia 1.5 TSI Elegance Edition DSG,Rs.18.93 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Automatic,19.36 kmpl,Petrol,1.5 L TSI Petrol,4,4,7-speed DSG,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1246-1277 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Style DSG,Skoda Slavia 1.5 TSI Style DSG,Rs.18.83 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Automatic,19.36 kmpl,Petrol,1.5 L TSI Petrol,4,4,7-Speed DSG,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1246-1277 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Style Matte,Skoda Slavia 1.5 TSI Style Matte,Rs.17.72 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Manual,19 kmpl,Petrol,1.5 L TSI Petrol,4,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1237-1268 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55 R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Elegance Edition,Skoda Slavia 1.5 TSI Elegance Edition,Rs.17.53 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Manual,19 kmpl,Petrol,1.5 L TSI Petrol,4,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1237-1268 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Style,Skoda Slavia 1.5 TSI Style,Rs.17.43 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Manual,19 kmpl,Petrol,1.5 L TSI Petrol,4,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1237-1268 kg,1685 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Style AT,Skoda Slavia 1.0 TSI Style AT,Rs.16.93 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Automatic,19.36 kmpl,Petrol,1.0 L TSI Petrol,3,4,6 Speed AT,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1219-1252 kg,1660 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Style Matte AT,Skoda Slavia 1.0 TSI Style Matte AT,Rs.16.72 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Automatic,19.36 kmpl,Petrol,1.0 L TSI Petrol,3,4,6 Speed AT,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1219-1252 kg,1660 kg,4,Rear,Leatherette,Shark Fin,205/55 R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Ambition DSG,Skoda Slavia 1.5 TSI Ambition DSG,Rs.16.63 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Automatic,18.73 kmpl,Petrol,1.5L TSI Petrol,4,4,7-Speed DSG,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1246-1277 kg,1685 kg,4,Rear,Fabric,Shark Fin,205/55R16,"Tubeless,Radial",,6,8 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Style,Skoda Slavia 1.0 TSI Style,Rs.15.63 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Manual,19 kmpl,Petrol,1.0 L TSI Petrol,3,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1160-1216 kg,1630 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Style Matte,Skoda Slavia 1.0 TSI Style Matte,Rs.15.52 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Manual,19 kmpl,Petrol,1.0 L TSI Petrol,3,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1160-1216 kg,1630 kg,4,Rear,Leatherette,Shark Fin,205/55 R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.5 TSI Ambition,Skoda Slavia 1.5 TSI Ambition,Rs.15.23 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,Manual,20.32 kmpl,Petrol,1.5L TSI Petrol,4,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1237-1268 kg,1630 kg,4,Rear,Fabric,Shark Fin,205/55R16,"Tubeless,Radial",,6,8 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition AT,Skoda Slavia 1.0 TSI Ambition AT,Rs.14.73 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Automatic,18.73 kmpl,Petrol,1.0 L TSI Petrol,3,4,6 Speed AT,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1219-1252 kg,1660 kg,4,Rear,Fabric,Shark Fin,205/55R16,"Tubeless,Radial",,6,8 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Style Non-Sunroof,Skoda Slavia 1.0 TSI Style Non-Sunroof,Rs.14.62 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Manual,19 kmpl,Petrol,1.0 L TSI Petrol,3,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1160-1216 kg,1630 kg,4,Rear,Leatherette,Shark Fin,205/55R16,"Tubeless,Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition,Skoda Slavia 1.0 TSI Ambition,Rs.13.43 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Manual,20.32 kmpl,Petrol,1.0 L TSI Petrol,3,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1160-1216 kg,1630 kg,4,Rear,Fabric,Shark Fin,205/55R16,"Tubeless,Radial",,6,8 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Slavia,Slavia 1.0 TSI Active,Skoda Slavia 1.0 TSI Active,Rs.11.53 Lakh*Get On-Road Price*Ex-showroom Price in Pune,999 cc,113.98 bhp,Manual,19.47 kmpl,Petrol,1.0 L TSI Petrol,3,4,6-Speed,FWD,45 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4541 mm,1752 mm,1507 mm,521 Litres,5,145 mm,2651 mm,1160-1216 kg,1630 kg,4,Rear,Fabric,,195/65R15,"Tubeless,Radial",15 Inch,6,6.96 Inch,,,5 Star,,,,,,,2,,,,,BS VI 2.0
Skoda,Skoda Kushaq,Kushaq 1.5 TSI Monte Carlo DSG,Skoda Kushaq 1.5 TSI Monte Carlo DSG,Rs.20.49 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,,18.6 kmpl,Petrol,1.5 TSI Petrol Engine,4,4,7-Speed DSG,FWD,50 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4225 mm,1760 mm,1612 mm,385 Litres,5,188 mm,2651 mm,1278-1309 kg,1696 kg,5,Rear,Leather,Shark Fin,205/55 R17,"Tubeless, Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
Skoda,Skoda Kushaq,Kushaq 1.5 TSI Style DSG,Skoda Kushaq 1.5 TSI Style DSG,Rs.19.79 Lakh*Get On-Road Price*Ex-showroom Price in Pune,1498 cc,147.51 bhp,,18.86 kmpl,Petrol,1.5 TSI Petrol Engine,4,4,7-Speed DSG,FWD,50 Litres,BS VI 2.0,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,,Disc,Drum,4225 mm,1760 mm,1612 mm,385 Litres,5,,2651 mm,1278-1309 kg,1696 kg,5,Rear,Leatherette,Shark Fin,205/55 R17,"Tubeless, Radial",,6,10 Inch,,,5 Star,,,,,,,4,,,,,BS VI 2.0
